"","tconst","id","title","bechdel_rating","year","averageRating","numVotes","runtimeMinutes","genres","primaryTitle"
"1","",7889,"Agora","0",2009,NA,NA,NA,NA,NA
"2","",7444,"Batman v Superman: Dawn of Justice Ultimate Edition","3",2016,NA,NA,NA,NA,NA
"3","",7771,"On the Milky Road","0",2016,NA,NA,NA,NA,NA
"4","0000003",5433,"Pauvre Pierrot","0",1892,6.6,947,"4","Animation,Comedy,Romance","Pauvre Pierrot"
"5","0000012",6199,"Arrival of a Train, The","0",1896,7.4,8160,"1","Documentary,Short","The Arrival of a Train"
"6","0000014",5444,"Tables Turned on the Gardener","0",1895,7.2,3564,"1","Comedy,Short","Tables Turned on the Gardener"
"7","0000091",4982,"House of the Devil, The","0",1896,6.7,2023,"3","Horror,Short","The House of the Devil"
"8","0000131",5406,"Une nuit terrible","0",1896,5.9,768,"1","Comedy,Horror,Short","A Terrible Night"
"9","0000211",5410,"Astronomer&#39;s Dream; or, The Man in the Moon, The","0",1898,7.5,2433,"3","Comedy,Fantasy,Horror","A Trip to the Moon"
"10","0000230",5914,"Cinderella","3",1899,6.5,1054,"6","Drama,Fantasy,Short","Cinderella"
"11","0000246",4994,"A Turn of the Century Illusionist","0",1899,6.5,763,"1","Short","A Turn of the Century Illusionist"
"12","0000272",4344,"As Seen Through A Telescope (a.k.a The Professor and His Field Glass)","0",1900,5.6,526,"1","Comedy,Short","As Seen Through a Telescope"
"13","0000300",4271,"Enchanted Drawing, The","0",1900,7,847,"2","Animation,Comedy,Fantasy","The Enchanted Drawing"
"14","0000304",4343,"Grandma&#39;s Reading Glass","0",1900,6,783,"2","Short","Grandma's Reading Glass"
"15","0000306",4346,"Hamlet ( Le Duel d&#39;Hamlet)","0",1900,5.6,130,"2","Drama,Short","Le duel d'Hamlet"
"16","0000313",5438,"Let Me Dream Again","0",1900,5.9,546,"1","Comedy,Short","Let Me Dream Again"
"17","0000359",4995,"L&#39;homme a la tete en caoutchouc","0",1901,7.2,1971,"3","Comedy,Short","The India Rubber Head"
"18","0000413",5443,"Mephistopheles&#39; School of Magic","0",1902,5.6,257,"3","Comedy,Fantasy,Horror","Mephistopheles' School of Magic"
"19","0000417",1252,"Le voyage dans la lune","0",1902,8.2,35252,"13","Adventure,Fantasy,Sci-Fi","A Trip to the Moon"
"20","0000439",1319,"Great Train Robbery, The","0",1903,7.3,13874,"11","Action,Short,Western","The Great Train Robbery"
"21","0000455",5063,"Music Lover, The","0",1903,6.9,1431,"3","Comedy,Music,Short","The Music Lover"
"22","0000499",6135,"Le voyage a travers l&#39;impossible","0",1904,7.7,2600,"24","Adventure,Fantasy,Sci-Fi","An Impossible Voyage"
"23","0000554",5435,"Humorous Phases of Funny Faces","0",1906,6.2,866,"3","Animation,Comedy,Family","Humorous Phases of Funny Faces"
"24","0000567",5684,"400 Tricks of the Devil, The","0",1906,6.8,699,"17","Fantasy,Horror,Short","The 400 Tricks of the Devil"
"25","0000574",1349,"Story of the Kelly Gang, The","1",1906,6.3,440,"70","Biography,Crime,Drama","The Story of the Kelly Gang"
"26","0001009",4409,"Princess Nicotine; or, The Smoke Fairy","2",1909,6.6,738,"5","Comedy,Fantasy,Short","Princess Nicotine; or, The Smoke Fairy"
"27","0002101",2003,"Cleopatra","2",1912,5.1,366,"100","Drama,History","Cleopatra"
