"","nconst","tconst","ordering","category","primaryName","primaryProfession"
"1","","",NA,"",NA,NA
"2","","",NA,"",NA,NA
"3","","",NA,"",NA,NA
"4","","",NA,"",NA,NA
"5","","",NA,"",NA,NA
"6","","",NA,"",NA,NA
"7","","",NA,"",NA,NA
"8","","",NA,"",NA,NA
"9","","",NA,"",NA,NA
"10","","",NA,"",NA,NA
"11","","",NA,"",NA,NA
"12","","",NA,"",NA,NA
"13","","",NA,"",NA,NA
"14","","",NA,"",NA,NA
"15","","",NA,"",NA,NA
"16","","",NA,"",NA,NA
"17","","",NA,"",NA,NA
"18","","",NA,"",NA,NA
"19","","",NA,"",NA,NA
"20","","",NA,"",NA,NA
"21","","",NA,"",NA,NA
"22","","",NA,"",NA,NA
"23","","",NA,"",NA,NA
"24","","",NA,"",NA,NA
"25","","",NA,"",NA,NA
"26","","",NA,"",NA,NA
"27","","",NA,"",NA,NA
"28","","",NA,"",NA,NA
"29","","",NA,"",NA,NA
"30","","",NA,"",NA,NA
"31","","",NA,"",NA,NA
"32","","",NA,"",NA,NA
"33","","",NA,"",NA,NA
"34","","",NA,"",NA,NA
"35","","",NA,"",NA,NA
"36","","",NA,"",NA,NA
"37","","",NA,"",NA,NA
"38","","",NA,"",NA,NA
"39","","",NA,"",NA,NA
"40","","",NA,"",NA,NA
"41","","",NA,"",NA,NA
"42","","",NA,"",NA,NA
"43","","",NA,"",NA,NA
"44","","",NA,"",NA,NA
"45","","",NA,"",NA,NA
"46","","",NA,"",NA,NA
"47","","",NA,"",NA,NA
"48","","",NA,"",NA,NA
"49","","",NA,"",NA,NA
"50","","",NA,"",NA,NA
"51","","",NA,"",NA,NA
"52","","",NA,"",NA,NA
"53","","",NA,"",NA,NA
"54","","",NA,"",NA,NA
"55","","",NA,"",NA,NA
"56","","",NA,"",NA,NA
"57","","",NA,"",NA,NA
"58","","",NA,"",NA,NA
"59","","",NA,"",NA,NA
"60","","",NA,"",NA,NA
"61","nm0000001","0029971",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"62","nm0000001","0029546",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"63","nm0000001","0036363",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"64","nm0000001","0041158",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"65","nm0000001","0040308",2,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"66","nm0000001","0045537",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"67","nm0000001","0047969",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"68","nm0000001","0050419",2,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"69","nm0000001","0066327",1,"actor","Fred Astaire","soundtrack,actor,miscellaneous"
"70","nm0000002","0038355",2,"actress","Lauren Bacall","actress,soundtrack"
"71","nm0000002","0045891",3,"actress","Lauren Bacall","actress,soundtrack"
"72","nm0000002","0117057",3,"actress","Lauren Bacall","actress,soundtrack"
"73","nm0000002","0037382",2,"actress","Lauren Bacall","actress,soundtrack"
"74","nm0000003","0054377",8,"actress","Brigitte Bardot","actress,soundtrack,producer"
"75","nm0000003","0054452",1,"actress","Brigitte Bardot","actress,soundtrack,producer"
"76","nm0000003","0051579",2,"actress","Brigitte Bardot","actress,soundtrack,producer"
"77","nm0000003","0066164",1,"actress","Brigitte Bardot","actress,soundtrack,producer"
"78","nm0000003","0067637",1,"actress","Brigitte Bardot","actress,soundtrack,producer"
"79","nm0000003","0053428",1,"actress","Brigitte Bardot","actress,soundtrack,producer"
"80","nm0000003","0059956",1,"actress","Brigitte Bardot","actress,soundtrack,producer"
"81","nm0000004","0080455",1,"actor","John Belushi","actor,writer,soundtrack"
"82","nm0000005","0053976",5,"director","Ingmar Bergman","writer,director,actor"
"83","nm0000005","0050986",5,"director","Ingmar Bergman","writer,director,actor"
"84","nm0000005","0036914",6,"writer","Ingmar Bergman","writer,director,actor"
"85","nm0000005","0060827",5,"director","Ingmar Bergman","writer,director,actor"
"86","nm0000005","0083922",5,"director","Ingmar Bergman","writer,director,actor"
"87","nm0000005","0048641",5,"director","Ingmar Bergman","writer,director,actor"
"88","nm0000005","0063759",5,"director","Ingmar Bergman","writer,director,actor"
"89","nm0000005","0050976",5,"director","Ingmar Bergman","writer,director,actor"
"90","nm0000005","0046345",5,"director","Ingmar Bergman","writer,director,actor"
"91","nm0000006","0051773",2,"actress","Ingrid Bergman","actress,soundtrack,producer"
"92","nm0000006","0051776",1,"actress","Ingrid Bergman","actress,soundtrack,producer"
"93","nm0000006","0038787",2,"actress","Ingrid Bergman","actress,soundtrack,producer"
"94","nm0000006","0046511",1,"actress","Ingrid Bergman","actress,soundtrack,producer"
"95","nm0000006","0034583",2,"actress","Ingrid Bergman","actress,soundtrack,producer"
"96","nm0000006","0040491",1,"actress","Ingrid Bergman","actress,soundtrack,producer"
"97","nm0000006","0038109",1,"actress","Ingrid Bergman","actress,soundtrack,producer"
"98","nm0000006","0042004",1,"actress","Ingrid Bergman","actress,soundtrack,producer"
"99","nm0000007","0037382",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"100","nm0000007","0029870",3,"actor","Humphrey Bogart","actor,soundtrack,producer"
"101","nm0000007","0034583",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"102","nm0000007","0029217",2,"actor","Humphrey Bogart","actor,soundtrack,producer"
"103","nm0000007","0042593",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"104","nm0000007","0038355",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"105","nm0000007","0043265",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"106","nm0000007","0040897",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"107","nm0000007","0036323",1,"actor","Humphrey Bogart","actor,soundtrack,producer"
"108","nm0000008","0078346",4,"actor","Marlon Brando","actor,soundtrack,director"
"109","nm0000008","0050933",1,"actor","Marlon Brando","actor,soundtrack,director"
"110","nm0000008","0047296",1,"actor","Marlon Brando","actor,soundtrack,director"
"111","nm0000008","0145937",2,"archive_footage","Marlon Brando","actor,soundtrack,director"
"112","nm0000008","0078788",2,"actor","Marlon Brando","actor,soundtrack,director"
"113","nm0000008","0057878",1,"actor","Marlon Brando","actor,soundtrack,director"
"114","nm0000008","0048140",1,"actor","Marlon Brando","actor,soundtrack,director"
"115","nm0000008","0044081",2,"actor","Marlon Brando","actor,soundtrack,director"
"116","nm0000008","0068646",1,"actor","Marlon Brando","actor,soundtrack,director"
"117","nm0000008","0047677",1,"actor","Marlon Brando","actor,soundtrack,director"
"118","nm0000008","0045943",2,"actor","Marlon Brando","actor,soundtrack,director"
"119","nm0000009","0061184",2,"actor","Richard Burton","actor,producer,soundtrack"
"120","nm0000009","0065207",1,"actor","Richard Burton","actor,producer,soundtrack"
"121","nm0000010","0022286",1,"actor","James Cagney","actor,soundtrack,director"
"122","nm0000010","0024028",1,"actor","James Cagney","actor,soundtrack,director"
"123","nm0000010","0029870",1,"actor","James Cagney","actor,soundtrack,director"
"124","nm0000011","0041386",1,"actor","Gary Cooper","actor,soundtrack,producer"
"125","nm0000011","0018199",1,"actor","Gary Cooper","actor,soundtrack,producer"
"126","nm0000011","0029929",2,"actor","Gary Cooper","actor,soundtrack,producer"
"127","nm0000011","0021156",1,"actor","Gary Cooper","actor,soundtrack,producer"
"128","nm0000011","0037508",1,"actor","Gary Cooper","actor,soundtrack,producer"
"129","nm0000011","0023753",4,"actor","Gary Cooper","actor,soundtrack,producer"
"130","nm0000011","0044706",1,"actor","Gary Cooper","actor,soundtrack,producer"
"131","nm0000012","0042192",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"132","nm0000012","0036515",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"133","nm0000012","0038461",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"134","nm0000012","0057997",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"135","nm0000012","0036230",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"136","nm0000012","0035140",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"137","nm0000012","0029217",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"138","nm0000012","0023590",4,"actress","Bette Davis","actress,soundtrack,make_up_department"
"139","nm0000012","0058213",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"140","nm0000012","0037094",1,"actress","Bette Davis","actress,soundtrack,make_up_department"
"141","nm0000013","0045591",1,"actress","Doris Day","soundtrack,actress,producer"
"142","nm0000013","0052278",2,"actress","Doris Day","soundtrack,actress,producer"
"143","nm0000014","0058213",2,"actress","Olivia de Havilland","actress,soundtrack"
"144","nm0000014","0038474",1,"actress","Olivia de Havilland","actress,soundtrack"
"145","nm0000014","0040806",1,"actress","Olivia de Havilland","actress,soundtrack"
"146","nm0000014","0029843",2,"actress","Olivia de Havilland","actress,soundtrack"
"147","nm0000014","0041452",1,"actress","Olivia de Havilland","actress,soundtrack"
"148","nm0000014","0048432",1,"actress","Olivia de Havilland","actress,soundtrack"
"149","nm0000015","0048545",1,"actor","James Dean","actor,miscellaneous"
"150","nm0000016","0060665",7,"composer","Georges Delerue","composer,soundtrack,music_department"
"151","nm0000016","0055032",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"152","nm0000016","0059956",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"153","nm0000016","0086312",9,"composer","Georges Delerue","composer,soundtrack,music_department"
"154","nm0000016","0066579",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"155","nm0000016","0082370",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"156","nm0000016","0088683",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"157","nm0000016","0082992",9,"composer","Georges Delerue","composer,soundtrack,music_department"
"158","nm0000016","0065571",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"159","nm0000016","0098384",8,"composer","Georges Delerue","composer,soundtrack,music_department"
"160","nm0000017","0021156",2,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"161","nm0000017","0020697",2,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"162","nm0000017","0029087",1,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"163","nm0000017","0023458",1,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"164","nm0000017","0051201",2,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"165","nm0000017","0042994",1,"actress","Marlene Dietrich","soundtrack,actress,music_department"
"166","nm0000018","0044391",2,"actor","Kirk Douglas","actor,producer,soundtrack"
"167","nm0000018","0041587",4,"actor","Kirk Douglas","actor,producer,soundtrack"
"168","nm0000018","0039689",3,"actor","Kirk Douglas","actor,producer,soundtrack"
"169","nm0000018","0044419",1,"actor","Kirk Douglas","actor,producer,soundtrack"
"170","nm0000018","0043338",1,"actor","Kirk Douglas","actor,producer,soundtrack"
