,nconst,tconst,crew.type,primaryName,primaryProfession,gender
107,nm0000005,77711,writer,Ingmar Bergman,"writer,director,actor",Male
108,nm0000005,36914,writer,Ingmar Bergman,"writer,director,actor",Male
109,nm0000005,76319,writer,Ingmar Bergman,"writer,director,actor",Male
110,nm0000005,53976,director,Ingmar Bergman,"writer,director,actor",Male
111,nm0000005,55499,writer,Ingmar Bergman,"writer,director,actor",Male
112,nm0000005,69467,director,Ingmar Bergman,"writer,director,actor",Male
113,nm0000005,46345,director,Ingmar Bergman,"writer,director,actor",Male
114,nm0000005,50976,writer,Ingmar Bergman,"writer,director,actor",Male
115,nm0000005,60827,director,Ingmar Bergman,"writer,director,actor",Male
116,nm0000005,50986,director,Ingmar Bergman,"writer,director,actor",Male
117,nm0000005,83922,director,Ingmar Bergman,"writer,director,actor",Male
118,nm0000005,46345,writer,Ingmar Bergman,"writer,director,actor",Male
119,nm0000005,359610,writer,Ingmar Bergman,"writer,director,actor",Male
120,nm0000005,48641,writer,Ingmar Bergman,"writer,director,actor",Male
121,nm0000005,55499,director,Ingmar Bergman,"writer,director,actor",Male
122,nm0000005,83922,writer,Ingmar Bergman,"writer,director,actor",Male
123,nm0000005,50976,director,Ingmar Bergman,"writer,director,actor",Male
124,nm0000005,57358,director,Ingmar Bergman,"writer,director,actor",Male
125,nm0000005,77711,director,Ingmar Bergman,"writer,director,actor",Male
126,nm0000005,63759,writer,Ingmar Bergman,"writer,director,actor",Male
127,nm0000005,48641,director,Ingmar Bergman,"writer,director,actor",Male
128,nm0000005,57611,director,Ingmar Bergman,"writer,director,actor",Male
129,nm0000005,60827,writer,Ingmar Bergman,"writer,director,actor",Male
130,nm0000005,50986,writer,Ingmar Bergman,"writer,director,actor",Male
131,nm0000005,57358,writer,Ingmar Bergman,"writer,director,actor",Male
132,nm0000005,69467,writer,Ingmar Bergman,"writer,director,actor",Male
133,nm0000005,63759,director,Ingmar Bergman,"writer,director,actor",Male
134,nm0000005,57611,writer,Ingmar Bergman,"writer,director,actor",Male
135,nm0000019,56801,writer,Federico Fellini,"writer,director,assistant_director",
136,nm0000019,50783,writer,Federico Fellini,"writer,director,assistant_director",
137,nm0000019,53779,writer,Federico Fellini,"writer,director,assistant_director",
138,nm0000019,59229,director,Federico Fellini,"writer,director,assistant_director",
139,nm0000019,53779,director,Federico Fellini,"writer,director,assistant_director",
140,nm0000019,55805,writer,Federico Fellini,"writer,director,assistant_director",
141,nm0000019,56801,director,Federico Fellini,"writer,director,assistant_director",
142,nm0000019,55805,director,Federico Fellini,"writer,director,assistant_director",
143,nm0000019,38890,writer,Federico Fellini,"writer,director,assistant_director",
144,nm0000019,59229,writer,Federico Fellini,"writer,director,assistant_director",
145,nm0000019,50783,director,Federico Fellini,"writer,director,assistant_director",
146,nm0000033,29811,director,Alfred Hitchcock,"actor,director,producer",Male
147,nm0000033,38787,writer,Alfred Hitchcock,"actor,director,producer",Male
148,nm0000033,56869,director,Alfred Hitchcock,"actor,director,producer",Male
149,nm0000033,28231,director,Alfred Hitchcock,"actor,director,producer",Male
150,nm0000033,58329,director,Alfred Hitchcock,"actor,director,producer",Male
151,nm0000033,32976,director,Alfred Hitchcock,"actor,director,producer",Male
152,nm0000033,39694,director,Alfred Hitchcock,"actor,director,producer",Male
153,nm0000033,21165,director,Alfred Hitchcock,"actor,director,producer",Male
154,nm0000033,19702,writer,Alfred Hitchcock,"actor,director,producer",Male
155,nm0000033,42994,director,Alfred Hitchcock,"actor,director,producer",Male
156,nm0000033,44079,director,Alfred Hitchcock,"actor,director,producer",Male
157,nm0000033,21015,writer,Alfred Hitchcock,"actor,director,producer",Male
158,nm0000033,68611,director,Alfred Hitchcock,"actor,director,producer",Male
159,nm0000033,19702,director,Alfred Hitchcock,"actor,director,producer",Male
160,nm0000033,21015,director,Alfred Hitchcock,"actor,director,producer",Male
161,nm0000033,17825,director,Alfred Hitchcock,"actor,director,producer",Male
162,nm0000033,23285,director,Alfred Hitchcock,"actor,director,producer",Male
163,nm0000033,22395,director,Alfred Hitchcock,"actor,director,producer",Male
164,nm0000033,38787,director,Alfred Hitchcock,"actor,director,producer",Male
165,nm0000033,74512,director,Alfred Hitchcock,"actor,director,producer",Male
166,nm0000033,36342,director,Alfred Hitchcock,"actor,director,producer",Male
167,nm0000033,53125,director,Alfred Hitchcock,"actor,director,producer",Male
168,nm0000033,54215,director,Alfred Hitchcock,"actor,director,producer",Male
169,nm0000033,45897,director,Alfred Hitchcock,"actor,director,producer",Male
170,nm0000033,47396,director,Alfred Hitchcock,"actor,director,producer",Male
171,nm0000033,34248,director,Alfred Hitchcock,"actor,director,producer",Male
172,nm0000033,52357,director,Alfred Hitchcock,"actor,director,producer",Male
173,nm0000033,22395,writer,Alfred Hitchcock,"actor,director,producer",Male
174,nm0000033,48750,director,Alfred Hitchcock,"actor,director,producer",Male
175,nm0000033,37017,director,Alfred Hitchcock,"actor,director,producer",Male
176,nm0000033,35279,writer,Alfred Hitchcock,"actor,director,producer",Male
177,nm0000033,32484,director,Alfred Hitchcock,"actor,director,producer",Male
178,nm0000033,23285,writer,Alfred Hitchcock,"actor,director,producer",Male
179,nm0000033,51207,director,Alfred Hitchcock,"actor,director,producer",Male
180,nm0000033,48728,director,Alfred Hitchcock,"actor,director,producer",Male
181,nm0000033,31505,director,Alfred Hitchcock,"actor,director,producer",Male
182,nm0000033,23395,director,Alfred Hitchcock,"actor,director,producer",Male
183,nm0000033,35279,writer,Alfred Hitchcock,"actor,director,producer",Male
184,nm0000033,38109,director,Alfred Hitchcock,"actor,director,producer",Male
185,nm0000033,28212,director,Alfred Hitchcock,"actor,director,producer",Male
186,nm0000033,21165,writer,Alfred Hitchcock,"actor,director,producer",Male
187,nm0000033,40746,director,Alfred Hitchcock,"actor,director,producer",Male
188,nm0000033,37017,writer,Alfred Hitchcock,"actor,director,producer",Male
189,nm0000033,46912,director,Alfred Hitchcock,"actor,director,producer",Male
190,nm0000033,49470,director,Alfred Hitchcock,"actor,director,producer",Male
191,nm0000033,35279,director,Alfred Hitchcock,"actor,director,producer",Male
192,nm0000033,42004,director,Alfred Hitchcock,"actor,director,producer",Male
193,nm0000033,25452,director,Alfred Hitchcock,"actor,director,producer",Male
194,nm0000033,61107,director,Alfred Hitchcock,"actor,director,producer",Male
195,nm0000033,23395,writer,Alfred Hitchcock,"actor,director,producer",Male
196,nm0000033,35279,director,Alfred Hitchcock,"actor,director,producer",Male
197,nm0000033,26029,director,Alfred Hitchcock,"actor,director,producer",Male
198,nm0000033,30341,director,Alfred Hitchcock,"actor,director,producer",Male
199,nm0000036,15163,director,Buster Keaton,"actor,writer,director",Male
200,nm0000036,31060,writer,Buster Keaton,"actor,writer,director",Male
201,nm0000036,15324,director,Buster Keaton,"actor,writer,director",Male
202,nm0000036,17925,writer,Buster Keaton,"actor,writer,director",Male
203,nm0000036,12543,director,Buster Keaton,"actor,writer,director",Male
204,nm0000036,12543,writer,Buster Keaton,"actor,writer,director",Male
205,nm0000036,14341,director,Buster Keaton,"actor,writer,director",Male
206,nm0000036,15863,director,Buster Keaton,"actor,writer,director",Male
207,nm0000036,26778,writer,Buster Keaton,"actor,writer,director",Male
208,nm0000036,17925,director,Buster Keaton,"actor,writer,director",Male
209,nm0000036,18742,director,Buster Keaton,"actor,writer,director",Male
210,nm0000036,19421,director,Buster Keaton,"actor,writer,director",Male
211,nm0000036,16332,director,Buster Keaton,"actor,writer,director",Male
212,nm0000036,15863,writer,Buster Keaton,"actor,writer,director",Male
213,nm0000037,41716,director,Gene Kelly,"actor,soundtrack,director",Male
214,nm0000037,64418,director,Gene Kelly,"actor,soundtrack,director",Male
215,nm0000037,45152,director,Gene Kelly,"actor,soundtrack,director",Male
216,nm0000040,62622,writer,Stanley Kubrick,"director,writer,producer",
217,nm0000040,57012,writer,Stanley Kubrick,"director,writer,producer",
218,nm0000040,66921,director,Stanley Kubrick,"director,writer,producer",
219,nm0000040,81505,writer,Stanley Kubrick,"director,writer,producer",
220,nm0000040,81505,director,Stanley Kubrick,"director,writer,producer",
221,nm0000040,45758,director,Stanley Kubrick,"director,writer,producer",
222,nm0000040,93058,writer,Stanley Kubrick,"director,writer,producer",
223,nm0000040,48254,writer,Stanley Kubrick,"director,writer,producer",
224,nm0000040,120663,director,Stanley Kubrick,"director,writer,producer",
225,nm0000040,57012,director,Stanley Kubrick,"director,writer,producer",
226,nm0000040,62622,director,Stanley Kubrick,"director,writer,producer",
227,nm0000040,50825,director,Stanley Kubrick,"director,writer,producer",
228,nm0000040,120663,writer,Stanley Kubrick,"director,writer,producer",
229,nm0000040,93058,director,Stanley Kubrick,"director,writer,producer",
230,nm0000040,66921,writer,Stanley Kubrick,"director,writer,producer",
231,nm0000040,72684,director,Stanley Kubrick,"director,writer,producer",
232,nm0000040,54331,director,Stanley Kubrick,"director,writer,producer",
233,nm0000040,49406,writer,Stanley Kubrick,"director,writer,producer",
234,nm0000040,72684,writer,Stanley Kubrick,"director,writer,producer",
235,nm0000040,56193,director,Stanley Kubrick,"director,writer,producer",
236,nm0000040,50825,writer,Stanley Kubrick,"director,writer,producer",
237,nm0000040,49406,director,Stanley Kubrick,"director,writer,producer",
238,nm0000040,48254,director,Stanley Kubrick,"director,writer,producer",
239,nm0000040,56193,writer,Stanley Kubrick,"director,writer,producer",
240,nm0000041,36400,writer,Akira Kurosawa,"writer,director,assistant_director",
241,nm0000041,101991,writer,Akira Kurosawa,"writer,director,assistant_director",
242,nm0000041,55630,director,Akira Kurosawa,"writer,director,assistant_director",
243,nm0000041,54047,writer,Akira Kurosawa,"writer,director,assistant_director",
244,nm0000041,71411,writer,Akira Kurosawa,"writer,director,assistant_director",
245,nm0000041,36400,director,Akira Kurosawa,"writer,director,assistant_director",
246,nm0000041,44741,writer,Akira Kurosawa,"writer,director,assistant_director",
247,nm0000041,47478,director,Akira Kurosawa,"writer,director,assistant_director",
248,nm0000041,65649,director,Akira Kurosawa,"writer,director,assistant_director",
249,nm0000041,101991,director,Akira Kurosawa,"writer,director,assistant_director",
250,nm0000041,51808,writer,Akira Kurosawa,"writer,director,assistant_director",
251,nm0000041,50613,director,Akira Kurosawa,"writer,director,assistant_director",
252,nm0000041,43614,writer,Akira Kurosawa,"writer,director,assistant_director",
253,nm0000041,65649,writer,Akira Kurosawa,"writer,director,assistant_director",
254,nm0000041,51808,director,Akira Kurosawa,"writer,director,assistant_director",
255,nm0000041,42876,writer,Akira Kurosawa,"writer,director,assistant_director",
256,nm0000041,42876,director,Akira Kurosawa,"writer,director,assistant_director",
257,nm0000041,43614,director,Akira Kurosawa,"writer,director,assistant_director",
258,nm0000041,56443,director,Akira Kurosawa,"writer,director,assistant_director",
259,nm0000041,36947,writer,Akira Kurosawa,"writer,director,assistant_director",
260,nm0000041,71411,director,Akira Kurosawa,"writer,director,assistant_director",
261,nm0000041,56443,writer,Akira Kurosawa,"writer,director,assistant_director",
262,nm0000041,47478,writer,Akira Kurosawa,"writer,director,assistant_director",
263,nm0000041,36947,director,Akira Kurosawa,"writer,director,assistant_director",
264,nm0000041,50613,writer,Akira Kurosawa,"writer,director,assistant_director",
265,nm0000041,89881,writer,Akira Kurosawa,"writer,director,assistant_director",
266,nm0000041,2404435,writer,Akira Kurosawa,"writer,director,assistant_director",
267,nm0000041,42958,writer,Akira Kurosawa,"writer,director,assistant_director",
268,nm0000041,55630,writer,Akira Kurosawa,"writer,director,assistant_director",
269,nm0000041,44741,director,Akira Kurosawa,"writer,director,assistant_director",
270,nm0000041,42958,director,Akira Kurosawa,"writer,director,assistant_director",
271,nm0000041,89881,director,Akira Kurosawa,"writer,director,assistant_director",
272,nm0000051,49010,writer,James Mason,"actor,producer,writer",Male
273,nm0000059,40416,writer,Laurence Olivier,"actor,producer,director",Male
274,nm0000059,50861,director,Laurence Olivier,"actor,producer,director",Male
275,nm0000059,40416,director,Laurence Olivier,"actor,producer,director",Male
276,nm0000067,33152,writer,Miklós Rózsa,"music_department,composer,soundtrack",
277,nm0000076,74152,writer,François Truffaut,"writer,director,producer",
278,nm0000076,61955,director,François Truffaut,"writer,director,producer",
279,nm0000076,82370,director,François Truffaut,"writer,director,producer",
280,nm0000076,55032,director,François Truffaut,"writer,director,producer",
281,nm0000076,70460,writer,François Truffaut,"writer,director,producer",
282,nm0000076,69442,director,François Truffaut,"writer,director,producer",
283,nm0000076,74152,director,François Truffaut,"writer,director,producer",
284,nm0000076,76155,director,François Truffaut,"writer,director,producer",
285,nm0000076,55032,writer,François Truffaut,"writer,director,producer",
286,nm0000076,85276,writer,François Truffaut,"writer,director,producer",
287,nm0000076,70460,director,François Truffaut,"writer,director,producer",
288,nm0000076,82370,writer,François Truffaut,"writer,director,producer",
289,nm0000076,64990,writer,François Truffaut,"writer,director,producer",
290,nm0000076,53472,writer,François Truffaut,"writer,director,producer",
291,nm0000076,64990,director,François Truffaut,"writer,director,producer",
292,nm0000076,53198,director,François Truffaut,"writer,director,producer",
293,nm0000076,69442,writer,François Truffaut,"writer,director,producer",
294,nm0000076,53198,writer,François Truffaut,"writer,director,producer",
295,nm0000076,61955,writer,François Truffaut,"writer,director,producer",
296,nm0000076,76155,writer,François Truffaut,"writer,director,producer",
297,nm0000076,60390,writer,François Truffaut,"writer,director,producer",
298,nm0000076,60390,director,François Truffaut,"writer,director,producer",
299,nm0000080,52311,director,Orson Welles,"actor,writer,director",Male
300,nm0000080,33467,director,Orson Welles,"actor,writer,director",Male
301,nm0000080,35015,writer,Orson Welles,"actor,writer,director",Male
302,nm0000080,33467,writer,Orson Welles,"actor,writer,director",Male
303,nm0000080,35015,director,Orson Welles,"actor,writer,director",Male
304,nm0000080,52311,writer,Orson Welles,"actor,writer,director",Male
305,nm0000080,38991,director,Orson Welles,"actor,writer,director",Male
306,nm0000080,38991,writer,Orson Welles,"actor,writer,director",Male
307,nm0000080,57427,director,Orson Welles,"actor,writer,director",Male
308,nm0000080,57427,writer,Orson Welles,"actor,writer,director",Male
309,nm0000080,41959,writer,Orson Welles,"actor,writer,director",Male
310,nm0000092,66765,writer,John Cleese,"actor,writer,producer",Male
311,nm0000092,72500,writer,John Cleese,"actor,writer,producer",Male
312,nm0000092,95159,director,John Cleese,"actor,writer,producer",Male
