"nconst","tconst","crew.type","primaryName","primaryProfession"
"\N","0000003","writ1",NA,NA
"\N","0000012","writ1",NA,NA
"\N","0000014","writ1",NA,NA
"\N","0000131","writ1",NA,NA
"\N","7342204","writ1",NA,NA
"\N","0000246","writ1",NA,NA
"\N","0000272","writ1",NA,NA
"\N","0000300","writ1",NA,NA
"\N","0000304","writ1",NA,NA
"\N","0000313","writ1",NA,NA
"\N","0000359","writ1",NA,NA
"\N","2628260","writ1",NA,NA
"\N","1032207","writ1",NA,NA
"\N","0000455","writ1",NA,NA
"\N","0000554","writ1",NA,NA
"\N","0001009","writ1",NA,NA
"\N","0951257","writ1",NA,NA
"\N","0003512","writ1",NA,NA
"\N","1584016","writ1",NA,NA
"\N","0008844","writ1",NA,NA
"\N","4044364","writ1",NA,NA
"\N","1512201","writ1",NA,NA
"\N","0365135","writ1",NA,NA
"\N","1515725","writ1",NA,NA
"\N","1515935","writ1",NA,NA
"\N","0135631","writ1",NA,NA
"\N","1517470","dir1",NA,NA
"\N","3686998","writ1",NA,NA
"\N","1721685","writ1",NA,NA
"\N","0367177","dir1",NA,NA
"\N","0367177","writ1",NA,NA
"\N","0486978","writ1",NA,NA
"\N","1604225","writ1",NA,NA
"\N","5786040","writ1",NA,NA
"\N","0368310","writ1",NA,NA
"\N","0073076","writ1",NA,NA
"\N","1764657","writ1",NA,NA
"\N","1740047","writ1",NA,NA
"\N","0449172","writ1",NA,NA
"\N","3122122","dir1",NA,NA
"\N","3122122","writ1",NA,NA
"\N","0215575","writ1",NA,NA
"\N","0215664","writ1",NA,NA
"\N","0216016","writ1",NA,NA
"\N","1559549","writ1",NA,NA
"\N","1273816","writ1",NA,NA
"\N","0223755","writ1",NA,NA
"\N","0224240","writ1",NA,NA
"\N","0227438","writ1",NA,NA
"\N","0127948","writ1",NA,NA
"\N","3252208","writ1",NA,NA
"\N","0189498","writ1",NA,NA
"\N","1227929","writ1",NA,NA
"\N","0257654","writ1",NA,NA
"\N","0230746","writ1",NA,NA
"\N","2093109","writ1",NA,NA
"\N","1032207","dir1",NA,NA
"\N","0102370","writ1",NA,NA
"\N","0232821","writ1",NA,NA
"\N","0235327","writ1",NA,NA
"\N","1785612","writ1",NA,NA
"\N","0132134","writ1",NA,NA
"\N","0377683","writ1",NA,NA
"\N","1587707","writ1",NA,NA
"\N","0135122","writ1",NA,NA
"\N","0135179","writ1",NA,NA
"\N","1802750","writ1",NA,NA
"\N","0135453","writ1",NA,NA
"\N","3671900","writ1",NA,NA
"\N","0135690","writ1",NA,NA
"\N","0135696","writ1",NA,NA
"\N","0313773","dir1",NA,NA
"\N","2140371","writ1",NA,NA
"\N","0039404","dir1",NA,NA
"\N","0024432","writ1",NA,NA
"\N","1007920","writ1",NA,NA
"\N","2555268","writ1",NA,NA
"\N","1621444","writ1",NA,NA
"\N","0188484","writ1",NA,NA
"\N","0392728","writ1",NA,NA
"\N","3882074","writ1",NA,NA
"\N","1179080","writ1",NA,NA
"\N","0100332","writ1",NA,NA
"\N","1667079","writ1",NA,NA
"\N","5538078","writ1",NA,NA
"\N","2008562","writ1",NA,NA
"\N","0492571","writ1",NA,NA
"\N","4858280","writ1",NA,NA
"\N","1260944","writ1",NA,NA
"\N","1385956","writ1",NA,NA
"\N","1754351","writ1",NA,NA
"\N","4644822","writ1",NA,NA
