,tconst,id,title,bechdel_rating,year,averageRating,numVotes,runtimeMinutes,genres,primaryTitle
3,3.0,5433,Pauvre Pierrot,0,1892,6.6,947.0,4,"Animation,Comedy,Romance",Pauvre Pierrot
4,12.0,6199,"Arrival of a Train, The",0,1896,7.4,8160.0,1,"Documentary,Short",The Arrival of a Train
5,14.0,5444,Tables Turned on the Gardener,0,1895,7.2,3564.0,1,"Comedy,Short",Tables Turned on the Gardener
6,91.0,4982,"House of the Devil, The",0,1896,6.7,2023.0,3,"Horror,Short",The House of the Devil
7,131.0,5406,Une nuit terrible,0,1896,5.9,768.0,1,"Comedy,Horror,Short",A Terrible Night
8,211.0,5410,"Astronomer&#39;s Dream; or, The Man in the Moon, The",0,1898,7.5,2433.0,3,"Comedy,Fantasy,Horror",A Trip to the Moon
9,230.0,5914,Cinderella,3,1899,6.5,1054.0,6,"Drama,Fantasy,Short",Cinderella
10,246.0,4994,A Turn of the Century Illusionist,0,1899,6.5,763.0,1,Short,A Turn of the Century Illusionist
11,272.0,4344,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0,1900,5.6,526.0,1,"Comedy,Short",As Seen Through a Telescope
12,300.0,4271,"Enchanted Drawing, The",0,1900,7.0,847.0,2,"Animation,Comedy,Fantasy",The Enchanted Drawing
13,304.0,4343,Grandma&#39;s Reading Glass,0,1900,6.0,783.0,2,Short,Grandma's Reading Glass
14,306.0,4346,Hamlet ( Le Duel d&#39;Hamlet),0,1900,5.6,130.0,2,"Drama,Short",Le duel d'Hamlet
15,313.0,5438,Let Me Dream Again,0,1900,5.9,546.0,1,"Comedy,Short",Let Me Dream Again
16,359.0,4995,L&#39;homme a la tete en caoutchouc,0,1901,7.2,1971.0,3,"Comedy,Short",The India Rubber Head
17,413.0,5443,Mephistopheles&#39; School of Magic,0,1902,5.6,257.0,3,"Comedy,Fantasy,Horror",Mephistopheles' School of Magic
18,417.0,1252,Le voyage dans la lune,0,1902,8.2,35252.0,13,"Adventure,Fantasy,Sci-Fi",A Trip to the Moon
19,439.0,1319,"Great Train Robbery, The",0,1903,7.3,13874.0,11,"Action,Short,Western",The Great Train Robbery
20,455.0,5063,"Music Lover, The",0,1903,6.9,1431.0,3,"Comedy,Music,Short",The Music Lover
21,499.0,6135,Le voyage a travers l&#39;impossible,0,1904,7.7,2600.0,24,"Adventure,Fantasy,Sci-Fi",An Impossible Voyage
22,554.0,5435,Humorous Phases of Funny Faces,0,1906,6.2,866.0,3,"Animation,Comedy,Family",Humorous Phases of Funny Faces
23,567.0,5684,"400 Tricks of the Devil, The",0,1906,6.8,699.0,17,"Fantasy,Horror,Short",The 400 Tricks of the Devil
24,574.0,1349,"Story of the Kelly Gang, The",1,1906,6.3,440.0,70,"Biography,Crime,Drama",The Story of the Kelly Gang
25,1009.0,4409,"Princess Nicotine; or, The Smoke Fairy",2,1909,6.6,738.0,5,"Comedy,Fantasy,Short","Princess Nicotine; or, The Smoke Fairy"
