,nconst,tconst,ordering,category,primaryName,primaryProfession,gender
60,nm0000001,29971.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
61,nm0000001,29546.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
62,nm0000001,36363.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
63,nm0000001,41158.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
64,nm0000001,40308.0,2.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
65,nm0000001,45537.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
66,nm0000001,47969.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
67,nm0000001,50419.0,2.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
68,nm0000001,66327.0,1.0,actor,Fred Astaire,"soundtrack,actor,miscellaneous",Male
69,nm0000002,38355.0,2.0,actress,Lauren Bacall,"actress,soundtrack",Female
70,nm0000002,45891.0,3.0,actress,Lauren Bacall,"actress,soundtrack",Female
71,nm0000002,117057.0,3.0,actress,Lauren Bacall,"actress,soundtrack",Female
72,nm0000002,37382.0,2.0,actress,Lauren Bacall,"actress,soundtrack",Female
73,nm0000003,54377.0,8.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
74,nm0000003,54452.0,1.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
75,nm0000003,51579.0,2.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
76,nm0000003,66164.0,1.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
77,nm0000003,67637.0,1.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
78,nm0000003,53428.0,1.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
79,nm0000003,59956.0,1.0,actress,Brigitte Bardot,"actress,soundtrack,producer",Female
80,nm0000004,80455.0,1.0,actor,John Belushi,"actor,writer,soundtrack",Male
81,nm0000005,53976.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
82,nm0000005,50986.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
83,nm0000005,36914.0,6.0,writer,Ingmar Bergman,"writer,director,actor",Male
84,nm0000005,60827.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
85,nm0000005,83922.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
86,nm0000005,48641.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
87,nm0000005,63759.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
88,nm0000005,50976.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
89,nm0000005,46345.0,5.0,director,Ingmar Bergman,"writer,director,actor",Male
90,nm0000006,51773.0,2.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
91,nm0000006,51776.0,1.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
92,nm0000006,38787.0,2.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
93,nm0000006,46511.0,1.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
94,nm0000006,34583.0,2.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
95,nm0000006,40491.0,1.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
96,nm0000006,38109.0,1.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
97,nm0000006,42004.0,1.0,actress,Ingrid Bergman,"actress,soundtrack,producer",Female
98,nm0000007,37382.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
99,nm0000007,29870.0,3.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
100,nm0000007,34583.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
101,nm0000007,29217.0,2.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
102,nm0000007,42593.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
103,nm0000007,38355.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
104,nm0000007,43265.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
105,nm0000007,40897.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
106,nm0000007,36323.0,1.0,actor,Humphrey Bogart,"actor,soundtrack,producer",Male
107,nm0000008,78346.0,4.0,actor,Marlon Brando,"actor,soundtrack,director",Male
108,nm0000008,50933.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
109,nm0000008,47296.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
110,nm0000008,145937.0,2.0,archive_footage,Marlon Brando,"actor,soundtrack,director",Male
111,nm0000008,78788.0,2.0,actor,Marlon Brando,"actor,soundtrack,director",Male
112,nm0000008,57878.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
113,nm0000008,48140.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
114,nm0000008,44081.0,2.0,actor,Marlon Brando,"actor,soundtrack,director",Male
115,nm0000008,68646.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
116,nm0000008,47677.0,1.0,actor,Marlon Brando,"actor,soundtrack,director",Male
117,nm0000008,45943.0,2.0,actor,Marlon Brando,"actor,soundtrack,director",Male
118,nm0000009,61184.0,2.0,actor,Richard Burton,"actor,producer,soundtrack",Male
119,nm0000009,65207.0,1.0,actor,Richard Burton,"actor,producer,soundtrack",Male
120,nm0000010,22286.0,1.0,actor,James Cagney,"actor,soundtrack,director",Male
121,nm0000010,24028.0,1.0,actor,James Cagney,"actor,soundtrack,director",Male
122,nm0000010,29870.0,1.0,actor,James Cagney,"actor,soundtrack,director",Male
123,nm0000011,41386.0,1.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
124,nm0000011,18199.0,1.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
125,nm0000011,29929.0,2.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
126,nm0000011,21156.0,1.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
127,nm0000011,37508.0,1.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
128,nm0000011,23753.0,4.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
129,nm0000011,44706.0,1.0,actor,Gary Cooper,"actor,soundtrack,producer",Male
130,nm0000012,42192.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
131,nm0000012,36515.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
132,nm0000012,38461.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
133,nm0000012,57997.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
134,nm0000012,36230.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
135,nm0000012,35140.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
136,nm0000012,29217.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
137,nm0000012,23590.0,4.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
138,nm0000012,58213.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
139,nm0000012,37094.0,1.0,actress,Bette Davis,"actress,soundtrack,make_up_department",Female
140,nm0000013,45591.0,1.0,actress,Doris Day,"soundtrack,actress,producer",Female
141,nm0000013,52278.0,2.0,actress,Doris Day,"soundtrack,actress,producer",Female
142,nm0000014,58213.0,2.0,actress,Olivia de Havilland,"actress,soundtrack",Female
143,nm0000014,38474.0,1.0,actress,Olivia de Havilland,"actress,soundtrack",Female
